SPECIES,SCIENTIFIC_NAME,TAXONNAME,OLDTAXONNAME,RANK,GENUS,FAMILY,COMMONNAME,COMMONFAMILY,COMMONFAMILYALL,CRYPTIC,LMAX,LW_A,LW_B,LENGTH_CONVERSION_FACTOR,LENTYP,SLTLRAT,FLTLRAT,TROPHIC,TROPHIC_DEF,TROPHIC_MONREP,SOURCE
LADI,Labroides dimidiatus,Labroides dimidiatus,NA,Species,Labroides,Labridae,Bluestreak Cleaner Wrasse,Wrasse,Wrasse,NA,12,0.00585,3.23093,1,FL,1,1,MI,Mobile invertivore,SECONDARY,Kulbicki 2005
LAPE,Labroides pectoralis,Labroides pectoralis,NA,Species,Labroides,Labridae,Blackspot Cleaner Wrasse,Wrasse,Wrasse,NA,8,0.0058,3.171,1,TL,1,NA,MI,Mobile invertivore,SECONDARY,FB value for genus
LAPH,Labroides phthirophagus,Labroides phthirophagus,NA,Species,Labroides,Labridae,Hawaiian Cleaner Wrasse,Wrasse,Wrasse,NA,10,0.0059,3.231,1,FL,NA,1,MI,Mobile invertivore,SECONDARY,Kulbicki Labroides mean
LARU,Labroides rubrolabiatus,Labroides rubrolabiatus,NA,Species,Labroides,Labridae,Redlip Cleaner Wrasse,Wrasse,Wrasse,NA,9,0.0058,3.171,1,TL,1,NA,MI,Mobile invertivore,SECONDARY,FB value for genus
LAAL,Labropsis alleni,Labropsis alleni,NA,Species,Labropsis,Labridae,Allen's Tubelip,Wrasse,Wrasse,NA,10,0.0076,3.105,1,TL,NA,NA,Cor,Corallivore,SECONDARY,FB for Labropsis xanthonata
LAAU,Labropsis australis,Labropsis australis,NA,Species,Labropsis,Labridae,Southern Tubelip,Wrasse,Wrasse,NA,10.5,0.0076,3.105,1,TL,1,NA,MI,Mobile invertivore,SECONDARY,FB value for LAXA
LAMA,Labropsis manabei,Labropsis manabei,NA,Species,Labropsis,Labridae,Northern Tubelip,Wrasse,Wrasse,NA,10,0.0076,3.105,1,TL,NA,NA,Cor,Corallivore,SECONDARY,FB for Labropsis xanthonata
LAMI,Labropsis micronesica,Labropsis micronesica,NA,Species,Labropsis,Labridae,Micronesian Wrasse,Wrasse,Wrasse,NA,12,0.0076,3.105,1,TL,1,NA,MI,Mobile invertivore,SECONDARY,FB value for LAXA
LAPO,Labropsis polynesica,Labropsis polynesica,NA,Species,Labropsis,Labridae,Polynesian Tubelip,Wrasse,Wrasse,NA,11.7,0.0076,3.105,1,TL,NA,NA,MI,Mobile invertivore,SECONDARY,LAXA LW relationship
LAXA,Labropsis xanthonota,Labropsis xanthonota,NA,Species,Labropsis,Labridae,Yellowback Tubelip,Wrasse,Wrasse,NA,14,0.0076,3.105,1,TL,1,NA,MI,Mobile invertivore,SECONDARY,FB
LAFO,Lactoria fornasini,Lactoria fornasini,NA,Species,Lactoria,Ostraciidae,Thornback Cowfish,Rare_Families,Boxfish,NA,14,0.4029,1.928,1,FL,NA,1,SI,Sessile invertivore,SECONDARY,Kulbicki Lactoria mean
LETA,Lepidozygus tapeinosoma,Lepidozygus tapeinosoma,NA,Species,Lepidozygus,Pomacentridae,Fusilier Damselfish,Damselfish,Damselfish,NA,10,0.00959,3,1,TL,1,NA,Pk,Planktivore,PLANKTIVORE,FB value for PSPA
LECY,Leptojulis cyanopleura,Leptojulis cyanopleura,NA,Species,Leptojulis,Labridae,Shoulder-Spot Wrasse,Wrasse,Wrasse,NA,13,0.00992,3,1,TL,NA,NA,Pk,Planktivore,PLANKTIVORE,FB for Coris venusta
EMPE,Lethrinidae,Lethrinidae,NA,Family,Lethrinidae,Lethrinidae,Lethrinidae,Emperor,Emperor,NA,86,0.01693,3.04011,0.93,FL,0.9,0.93,MI,Mobile invertivore,SECONDARY,Kulbicki 2005
LEAM,Lethrinus amboinensis,Lethrinus amboinensis,NA,Species,Lethrinus,Lethrinidae,Ambon Emperor,Emperor,Emperor,NA,70,0.0165,3.043,0.9,FL,NA,0.9,MI,Mobile invertivore,SECONDARY,Kulbicki Lethrinus mean
LEAT,Lethrinus atkinsoni,Lethrinus atkinsoni,NA,Species,Lethrinus,Lethrinidae,Pacific Yellowtail Emperor,Emperor,Emperor,NA,50,0.0178,3.057,0.92,FL,NA,0.92,MI,Mobile invertivore,SECONDARY,"need biomass value, FL from FishBase"
LEER,Lethrinus erythracanthus,Lethrinus erythracanthus,NA,Species,Lethrinus,Lethrinidae,Orange-Spotted Emperor,Emperor,Emperor,NA,70,0.0165,3.043,0.959,FL,NA,NA,MI,Mobile invertivore,SECONDARY,Kulbicki for Lethrinus spp.
LEEY,Lethrinus erythropterus,Lethrinus erythropterus,NA,Species,Lethrinus,Lethrinidae,Longfin Emperor,Emperor,Emperor,NA,50,0.0298,3,0.870322,SL,NA,NA,MI,Mobile invertivore,SECONDARY,FB
LEHA,Lethrinus harak,Lethrinus harak,NA,Species,Lethrinus,Lethrinidae,Thumbprint Emperor,Emperor,Emperor,NA,32,0.01701,3.04226,0.93,FL,NA,0.93,MI,Mobile invertivore,SECONDARY,Kulbicki 2005
LEMI,Lethrinus microdon,Lethrinus microdon,NA,Species,Lethrinus,Lethrinidae,Smalltooth Emperor,Emperor,Emperor,NA,80,0.0165,3.043,0.9,FL,NA,0.9,MI,Mobile invertivore,SECONDARY,Kulbicki Lethrinus mean
LEOB,Lethrinus obsoletus,Lethrinus obsoletus,NA,Species,Lethrinus,Lethrinidae,Orange-Striped Emperor,Emperor,Emperor,NA,50,0.01733,3.02583,0.97,FL,NA,0.97,MI,Mobile invertivore,SECONDARY,Kulbicki 2005
LEOL,Lethrinus olivaceus,Lethrinus olivaceus,NA,Species,Lethrinus,Lethrinidae,Longface Emperor,Emperor,Emperor,NA,100,0.02936,2.85064,0.97,FL,NA,0.97,Pisc,Piscivore,PISCIVORE,Kulbicki 2005
LEOR,Lethrinus ornatus,Lethrinus ornatus,NA,Species,Lethrinus,Lethrinidae,Ornate Emperor,Emperor,Emperor,NA,45,0.0197,2.986,0.896,FL,NA,NA,MI,Mobile invertivore,SECONDARY,Kulbicki for Lethrinus lentjan
LERU,Lethrinus rubrioperculatus,Lethrinus rubrioperculatus,NA,Species,Lethrinus,Lethrinidae,Spotcheek Emperor,Emperor,Emperor,NA,39.5,0.01279,3.10807,0.91,FL,NA,0.91,MI,Mobile invertivore,SECONDARY,Kulbicki 2005
LETH,Lethrinus sp.,Lethrinus sp,NA,Genus,Lethrinus,Lethrinidae,Lethrinus sp.,Emperor,Emperor,NA,86,0.0165,3.04343,0.93,FL,NA,0.93,MI,Mobile invertivore,SECONDARY,Kulbicki 2005
LEVA,Lethrinus variegatus,Lethrinus variegatus,NA,Species,Lethrinus,Lethrinidae,Slender Emperor,Emperor,Emperor,NA,20,0.182,2.284,0.95,FL,0.793,NA,MI,Mobile invertivore,SECONDARY,FB
LEXA,Lethrinus xanthochilus,Lethrinus xanthochilus,NA,Species,Lethrinus,Lethrinidae,Yellowlip Emperor,Emperor,Emperor,NA,62,0.02007,2.9639,0.94,FL,NA,0.94,Pisc,Piscivore,PISCIVORE,Kulbicki 2005
LOGR,Lotilia graciliosa,Lotilia graciliosa,NA,Species,Lotilia,Gobiidae,Whitecap Goby,Rare_Families,Goby,Y,4.5,0.0264,2.623,1,FL,NA,1,Pk,Planktivore,PLANKTIVORE,Kulbicki Gobiidae mean
SNAP,Lutjanidae,Lutjanidae,NA,Family,Lutjanidae,Lutjanidae,Lutjanidae,Snapper,Snapper,NA,112,0.01511,3.05684,0.96,FL,0.86,0.96,MI,Mobile invertivore,SECONDARY,Kulbicki 2005
LUAR,Lutjanus argentimaculatus,Lutjanus argentimaculatus,NA,Species,Lutjanus,Lutjanidae,Mangrove Red Snapper,Snapper,Snapper,NA,104,0.028,2.844,0.98,FL,0.85,0.98,MI,Mobile invertivore,SECONDARY,Kulbicki 2005
LUBI,Lutjanus biguttatus,Lutjanus biguttatus,NA,Species,Lutjanus,Lutjanidae,Two-Spot Banded Snapper,Snapper,Snapper,NA,25,0.0151,3.057,0.98,FL,0.85,0.98,MI,Mobile invertivore,SECONDARY,Kulbicki Lutjanus mean
LUBO,Lutjanus bohar,Lutjanus bohar,NA,Species,Lutjanus,Lutjanidae,Two-Spot Red Snapper,Snapper,Snapper,NA,90,0.01563,3.05865,0.96,FL,0.8,0.96,Pisc,Piscivore,PISCIVORE,Kulbicki 2005
LUCA,Lutjanus carponotatus,Lutjanus carponotatus,NA,Species,Lutjanus,Lutjanidae,Spanish Flag Snapper,Snapper,Snapper,NA,40,0.00842,3.247,0.9624639,FL,NA,NA,Pisc,Piscivore,PISCIVORE,Kulbicki for Lutjanus kasmira
LUDE,Lutjanus decussatus,Lutjanus decussatus,NA,Species,Lutjanus,Lutjanidae,Checkered Snapper,Snapper,Snapper,NA,35,0.0205,2.96,0.9578544,FL,NA,NA,MI,Mobile invertivore,SECONDARY,Kulbicki for Lutjanus fulviflamma
LUEH,Lutjanus ehrenbergii,Lutjanus ehrenbergii,NA,Species,Lutjanus,Lutjanidae,Blackspot Snapper,Snapper,Snapper,NA,35,0.0026,3.335,1,TL,NA,NA,Pisc,Piscivore,PISCIVORE,FishBase
LUFL,Lutjanus fulviflamma,Lutjanus fulviflamma,NA,Species,Lutjanus,Lutjanidae,Dory Snapper,Snapper,Snapper,NA,33,0.0205,2.96,0.9689922,FL,NA,NA,MI,Mobile invertivore,SECONDARY,Kulbicki 2005
LUFU,Lutjanus fulvus,Lutjanus fulvus,NA,Species,Lutjanus,Lutjanidae,Blacktail Snapper,Snapper,Snapper,NA,40,0.02106,2.97433,0.96,FL,0.8,0.96,MI,Mobile invertivore,SECONDARY,Kulbicki 2005
LUGI,Lutjanus gibbus,Lutjanus gibbus,NA,Species,Lutjanus,Lutjanidae,Humpback Red Snapper,Snapper,Snapper,NA,53,0.01309,3.13752,0.89,FL,0.77,0.89,MI,Mobile invertivore,SECONDARY,Kulbicki 2005
LUKA,Lutjanus kasmira,Lutjanus kasmira,NA,Species,Lutjanus,Lutjanidae,Common Bluestripe Snapper,Snapper,Snapper,NA,40,0.00842,3.24696,0.95,FL,0.83,0.95,MI,Mobile invertivore,SECONDARY,Kulbicki 2005
LULN,Lutjanus lunulatus,Lutjanus lunulatus,NA,Species,Lutjanus,Lutjanidae,Lunartail Snapper,Snapper,Snapper,NA,35,0.0205,2.96,0.967118,FL,NA,NA,MI,Mobile invertivore,SECONDARY,Kulbicki for Lutjanus fulviflamma
LULU,Lutjanus lutjanus,Lutjanus lutjanus,NA,Species,Lutjanus,Lutjanidae,Bigeye Snapper,Snapper,Snapper,NA,35,0.0182,2.969,0.9803922,FL,NA,NA,MI,Mobile invertivore,SECONDARY,Kulbicki 2005
LUMD,Lutjanus madras,Lutjanus madras,NA,Species,Lutjanus,Lutjanidae,Indian Snapper,Snapper,Snapper,NA,30,0.0182,2.969,0.9615384,FL,NA,NA,MI,Mobile invertivore,SECONDARY,Kulbicki for Lutjanus lutjanus
LUMA,Lutjanus malabaricus,Lutjanus malabaricus,NA,Species,Lutjanus,Lutjanidae,Malabar Blood Snapper,Snapper,Snapper,NA,100,0.0151,3.057,0.98,FL,0.82,0.98,MI,Mobile invertivore,SECONDARY,Kulbicki Lutjanus mean
LUMO,Lutjanus monostigma,Lutjanus monostigma,NA,Species,Lutjanus,Lutjanidae,Onespot Snapper,Snapper,Snapper,NA,60,0.02218,2.91252,0.98,FL,0.81,0.98,Pisc,Piscivore,PISCIVORE,Kulbicki 2005
LUPP,Lutjanus papuensis,Lutjanus papuensis,NA,Species,Lutjanus,Lutjanidae,Papuan Snapper,Snapper,Snapper,NA,25,0.0205,2.96,0.967118,FL,NA,NA,MI,Mobile invertivore,SECONDARY,Kulbicki for Lutjanus fulviflamma
LUQU,Lutjanus quinquelineatus,Lutjanus quinquelineatus,NA,Species,Lutjanus,Lutjanidae,Five-Lined Snapper,Snapper,Snapper,NA,33,0.0146,3.1,0.9442871,FL,NA,NA,MI,Mobile invertivore,SECONDARY,Kulbicki 2005
LURI,Lutjanus rivulatus,Lutjanus rivulatus,NA,Species,Lutjanus,Lutjanidae,Blubberlip Snapper,Snapper,Snapper,NA,80,0.0084,3.26,0.97168132,FL,NA,0,MI,Mobile invertivore,SECONDARY,Kulbicki et al 2005
LUSE,Lutjanus semicinctus,Lutjanus semicinctus,NA,Species,Lutjanus,Lutjanidae,Black-Banded Snapper,Snapper,Snapper,NA,35,0.00398,3.42802,0.98,FL,0.78,0.98,Pisc,Piscivore,PISCIVORE,Kulbicki 2005
LUEA,Luzonichthys earlei,Luzonichthys earlei,NA,Species,Luzonichthys,Serranidae,Earle's splitfin,Anthias,Anthias,NA,4.2,0.0155,3.121,0.9,FL,NA,0.9,Pk,Planktivore,PLANKTIVORE,Kulbicki Apogon mean
LUSP,Luzonichthys sp.,Luzonichthys sp,NA,Genus,Luzonichthys,Serranidae,Luzonichthys sp.,Anthias,Anthias,NA,7,0.00959,3,1,TL,1,NA,Pk,Planktivore,PLANKTIVORE,FB value for PSPA
LUTA,Luzonichthys taeniatus,Luzonichthys taeniatus,NA,Species,Luzonichthys,Serranidae,Striped splitfin,Anthias,Anthias,NA,4,0.0155,3.121,0.95,FL,NA,NA,Pk,Planktivore,PLANKTIVORE,Kulbicki Apogon mean
LUWA,Luzonichthys waitei,Luzonichthys waitei,NA,Species,Luzonichthys,Serranidae,Waite's splitfin,Anthias,Anthias,NA,7,0.00959,3,1,TL,1,NA,Pk,Planktivore,PLANKTIVORE,FB value for PSPA
LUWH,Luzonichthys whitleyi,Luzonichthys whitleyi,NA,Species,Luzonichthys,Serranidae,Whitley's Splitfin,Anthias,Anthias,NA,6,0.00959,3,1,TL,1,NA,Pk,Planktivore,PLANKTIVORE,FB value for PSPA
MAMA,Macolor macularis,Macolor macularis,NA,Species,Macolor,Lutjanidae,Midnight Snapper,Snapper,Snapper,NA,60,0.0145,3,1,TL,1,NA,Pk,Planktivore,PLANKTIVORE,FB value for M. niger (None available for M. macularis)
MANI,Macolor niger,Macolor niger,NA,Species,Macolor,Lutjanidae,Black And White Snapper,Snapper,Snapper,NA,75,0.0145,3,1,TL,1,NA,Pk,Planktivore,PLANKTIVORE,FB
MACO,Macolor sp.,Macolor sp,NA,Genus,Macolor,Lutjanidae,Macolor sp.,Snapper,Snapper,NA,75,0.0145,3,1,TL,1,NA,Pk,Planktivore,PLANKTIVORE,FB value for M. niger (None available for M. spp.)
MAGE,Macropharyngodon geoffroy,Macropharyngodon geoffroy,NA,Species,Macropharyngodon,Labridae,Geoffroy's Wrasse,Wrasse,Wrasse,NA,16,0.0107,3.178,1,FL,1,1,MI,Mobile invertivore,SECONDARY,Kulbicki Labridae mean
MAME,Macropharyngodon meleagris,Macropharyngodon meleagris,NA,Species,Macropharyngodon,Labridae,Blackspotted Wrasse,Wrasse,Wrasse,NA,15,0.0205,3,1,TL,1,NA,MI,Mobile invertivore,SECONDARY,FB value for genus
MANE,Macropharyngodon negrosensis,Macropharyngodon negrosensis,NA,Species,Macropharyngodon,Labridae,Yellowspotted Wrasse,Wrasse,Wrasse,NA,12,0.0107,3.178,1,FL,NA,1,MI,Mobile invertivore,SECONDARY,Kulbicki Labridae mean
MABR,Malacanthus brevirostris,Malacanthus brevirostris,NA,Species,Malacanthus,Malacanthidae,Quakerfish,Rare_Families,Tilefish,NA,30,0.0049,3,1,TL,1,NA,MI,Mobile invertivore,SECONDARY,FB
MALA,Malacanthus latovittatus,Malacanthus latovittatus,NA,Species,Malacanthus,Malacanthidae,Blue Blanquillo,Rare_Families,Tilefish,NA,45,0.01,2.8763,1,TL,1,NA,MI,Mobile invertivore,SECONDARY,FB mean for genus
MABI,Manta birostris,Manta birostris,NA,Species,Manta,Myliobatidae,Giant Manta,Rare_Families,Manta,NA,800,0.0164,3,1,NA,NA,NA,Pk,Planktivore,PLANKTIVORE,Manta ray
MENO,Megaptera novaeangliae,Megaptera novaeangliae,NA,Species,Megaptera,Balaenopteridae,Humpback Whale,Rare_Families,Whale,NA,NONFISH,NONFISH,NONFISH,NONFISH,NONFISH,NONFISH,NONFISH,NONFISH,NONFISH,NONFISH,NA
MEAT,Meiacanthus atrodorsalis,Meiacanthus atrodorsalis,NA,Species,Meiacanthus,Blenniidae,Forktail Blenny,Rare_Families,Blenny,NA,10,0.0074,3,1,TL,1,NA,Pk,Planktivore,PLANKTIVORE,FB
MENI,Melichthys niger,Melichthys niger,NA,Species,Melichthys,Balistidae,Black Triggerfish,Triggerfish,Triggerfish,NA,38,0.0058,3.554,1,TL,1,NA,Pk,Planktivore,PLANKTIVORE,FB value for genus
MEVI,Melichthys vidua,Melichthys vidua,NA,Species,Melichthys,Balistidae,Pinktail Triggerfish,Triggerfish,Triggerfish,NA,34,0.0058,3.554,1,TL,1,NA,H,Herbivore,PRIMARY,FB value for genus
MIST,Microcanthus strigatus,Microcanthus strigatus,NA,Species,Microcanthus,Kyphosidae,Stripey,Chub,Chub,NA,15,0.05255,2.81831,0.97,FL,NA,0.97,MI,Mobile invertivore,SECONDARY,Kulbicki 2005
DART,Microdesmidae,Microdesmidae,NA,Family,Microdesmidae,Microdesmidae,Microdesmidae,Rare_Families,Wormfish,Y,11.5,0.0091,3,1,TL,1,NA,Pk,Planktivore,PLANKTIVORE,FB value for elongated fish
MOAL,Mobula alfredi,Mobula alfredi,NA,Species,Mobula,Myliobatidae,Alfred Manta,Rare_Families,Manta,NA,500,0.01,3.04,1,NA,NA,NA,Pk,Planktivore,PLANKTIVORE,FB
MOBI,Mobula birostris,Mobula birostris,Manta birostris,Species,Mobula,Myliobatidae,Giant Manta,Rare_Families,Manta,NA,800,0.0164,3,1,NA,NA,NA,Pk,Planktivore,PLANKTIVORE,Manta ray
MOSP,Mobula sp.,Mobula sp.,NA,Genus,Mobula,Myliobatidae,Manta sp.,Rare_Families,Manta,NA,800,0.0164,3,1,NA,NA,NA,Pk,Planktivore,PLANKTIVORE,MOBI
FILE,Monacanthidae,Monacanthidae,NA,Family,Monacanthidae,Monacanthidae,Monacanthidae,Rare_Families,Filefish,NA,38,0.017,3.07,1,TL,1,NA,H,Herbivore,PRIMARY,FB value for CAPA
MONK,Monachus schauinslandi,Monachus schauinslandi,NA,Species,Monachus,Phocidae,Monk Seal,Rare_Families,Monk Seal,NA,NONFISH,NONFISH,NONFISH,1,NONFISH,NONFISH,NONFISH,NONFISH,NONFISH,NONFISH,Seal
MOGR,Monotaxis grandoculis,Monotaxis grandoculis,NA,Species,Monotaxis,Lethrinidae,Humpnose Big-Eye Bream,Emperor,Emperor,NA,63,0.02296,3.02223,0.89,FL,0.88,0.89,MI,Mobile invertivore,SECONDARY,Kulbicki 2005
MOSE,Moolgarda seheli,Moolgarda seheli,NA,Species,Moolgarda,Mugilidae,Bluespot Mullet,Rare_Families,Mullet,NA,60,0.00605,3.275,0.907,FL,NA,NA,Pk,Planktivore,PLANKTIVORE,FB
MUCE,Mugil cephalus,Mugil cephalus,NA,Species,Mugil,Mugilidae,Flathead Mullet,Rare_Families,Mullet,NA,48.5,0.01085,3.0885,0.94,FL,NA,0.94,Pk,Planktivore,PLANKTIVORE,Kulbicki 2005
GOAT,Mullidae,Mullidae,NA,Family,Mullidae,Mullidae,Mullidae,Goatfish,Goatfish,NA,50,0.00743,3.29344,0.9,FL,NA,0.9,MI,Mobile invertivore,SECONDARY,Kulbicki 2005
MUFL,Mulloidichthys flavolineatus,Mulloidichthys flavolineatus,NA,Species,Mulloidichthys,Mullidae,Yellowstripe Goatfish,Goatfish,Goatfish,NA,40,0.0089,3.0602,1,TL,1,NA,MI,Mobile invertivore,SECONDARY,FB
MUMI,Mulloidichthys mimicus,Mulloidichthys mimicus,NA,Species,Mulloidichthys,Mullidae,Mimic Goatfish,Goatfish,Goatfish,NA,30,0.0074,3.293,0.92,FL,0.88,0.92,MI,Mobile invertivore,SECONDARY,Kulbicki Mulloides mean
MUPF,Mulloidichthys pfluegeri,Mulloidichthys pfluegeri,NA,Species,Mulloidichthys,Mullidae,Orange Goatfish,Goatfish,Goatfish,NA,48,0.0126,3.0494,1,TL,1,NA,MI,Mobile invertivore,SECONDARY,FB mean for genus
MUVA,Mulloidichthys vanicolensis,Mulloidichthys vanicolensis,NA,Species,Mulloidichthys,Mullidae,Yellowfin Goatfish,Goatfish,Goatfish,NA,38,0.0099,3.015,1,TL,1,NA,MI,Mobile invertivore,SECONDARY,FB
MORA,Muraenidae,Muraenidae,NA,Family,Muraenidae,Muraenidae,Muraenidae,Rare_Families,Moray,NA,256,0.00465,2.61351,1,FL,NA,1,Pisc,Piscivore,PISCIVORE,Kulbicki 2005
MYMA,Myrichthys magnificus,Myrichthys magnificus,NA,Species,Myrichthys,Ophichthidae,Magnificent Snake Eel,Rare_Families,Worm or Snake Eel,Y,78,0.002,3,1,??,NA,NA,MI,Mobile invertivore,SECONDARY,"FB, family values"
MYSP,Myripristinae,Myripristinae,NA,Family,Myripristinae,Holocentridae,Soldierfish sp.,Soldierfish,Soldierfish,NA,35,0.02762,3.03041,0.89,FL,0.92,0.89,Pk,Planktivore,PLANKTIVORE,Kulbicki 2005
MYAD,Myripristis adusta,Myripristis adusta,NA,Species,Myripristis,Holocentridae,Shadowfin Soldierfish,Soldierfish,Soldierfish,NA,32,0.0249,3.0416,1,TL,1,NA,Pk,Planktivore,PLANKTIVORE,FB mean for genus
MYAM,Myripristis amaena,Myripristis amaena,NA,Species,Myripristis,Holocentridae,Brick Soldierfish,Soldierfish,Soldierfish,NA,32,0.01576,3.26114,0.89,FL,0.88,0.89,Pk,Planktivore,PLANKTIVORE,Kulbicki 2005
MYBE,Myripristis berndti,Myripristis berndti,NA,Species,Myripristis,Holocentridae,Blotcheye Soldierfish,Soldierfish,Soldierfish,NA,33,0.02769,3.00336,0.92,FL,0.88,0.92,Pk,Planktivore,PLANKTIVORE,Kulbicki 2005
MYBO,Myripristis botche,Myripristis botche,NA,Species,Myripristis,Holocentridae,Blacktip Soldierfish,Soldierfish,Soldierfish,NA,30,0.02917,3.024,0.9,FL,0.817,NA,MI,Mobile invertivore,SECONDARY,FB
MYCH,Myripristis chryseres,Myripristis chryseres,NA,Species,Myripristis,Holocentridae,Yellowfin Soldierfish,Soldierfish,Soldierfish,NA,25,0.0276,3.03,0.9,FL,NA,0.9,Pk,Planktivore,PLANKTIVORE,Kulbicki Myripristis mean
MYEA,Myripristis earlei,Myripristis earlei,NA,Species,Myripristis,Holocentridae,Earl's Soldierfish,Soldierfish,Soldierfish,NA,24,0.02769,3.00336,0.92,FL,NA,NA,MI,Mobile invertivore,SECONDARY,Kulbicki MYBE values
MYHE,Myripristis hexagona,Myripristis hexagona,NA,Species,Myripristis,Holocentridae,Doubletooth Soldierfish,Soldierfish,Soldierfish,NA,19,0.025,3.089,0.9,FL,0.813,NA,Pk,Planktivore,PLANKTIVORE,Kulbicki 2005
MYKU,Myripristis kuntee,Myripristis kuntee,NA,Species,Myripristis,Holocentridae,Shoulderbar Soldierfish,Soldierfish,Soldierfish,NA,23,0.00991,3.46765,0.88,FL,NA,0.88,Pk,Planktivore,PLANKTIVORE,Kulbicki 2005
MYMU,Myripristis murdjan,Myripristis murdjan,NA,Species,Myripristis,Holocentridae,Pinecone Soldierfish,Soldierfish,Soldierfish,NA,60,0.0276,3.03,0.9,FL,NA,0.9,Pk,Planktivore,PLANKTIVORE,Kulbicki Myripristis mean
MYPR,Myripristis pralinia,Myripristis pralinia,NA,Species,Myripristis,Holocentridae,Scarlet Soldierfish,Soldierfish,Soldierfish,NA,15,0.0227,3.095,0.9,FL,0.779,NA,Pk,Planktivore,PLANKTIVORE,Kulbicki 2005
MYVL,Myripristis violacea,Myripristis violacea,NA,Species,Myripristis,Holocentridae,Lattice Soldierfish,Soldierfish,Soldierfish,NA,30,0.0364,2.94,0.905,FL,NA,0.905,MI,Mobile invertivore,SECONDARY,LW from FB
MYVI,Myripristis vittata,Myripristis vittata,NA,Species,Myripristis,Holocentridae,Whitetip Soldierfish,Soldierfish,Soldierfish,NA,20,0.0276,3.03,0.88,FL,NA,0.88,Pk,Planktivore,PLANKTIVORE,Kulbicki Myripristis mean
MYWO,Myripristis woodsi,Myripristis woodsi,NA,Species,Myripristis,Holocentridae,Whitespot Soldierfish,Soldierfish,Soldierfish,NA,25,0.0149,3,1,TL,NA,NA,Pk,Planktivore,PLANKTIVORE,FB
NANA,Nannosalarias nativitatus,Nannosalarias nativitatus,NA,Species,Nannosalarias,Blenniidae,Pygmy Blenny,Rare_Families,Blenny,NA,5,0.0239,2.584,1,FL,NA,NA,H,Herbivore,PRIMARY,Kulbicki for Ecsenius spp.
NAAN,Naso annulatus,Naso annulatus,NA,Species,Naso,Acanthuridae,Whitemargin Unicornfish,Surgeonfish,Surgeonfish,NA,100,0.05103,2.71537,0.95,FL,0.95,0.95,Pk,Planktivore,PLANKTIVORE,Kulbicki 2005
NABH,Naso brachycentron,Naso brachycentron,NA,Species,Naso,Acanthuridae,Humpback Unicornfish,Surgeonfish,Surgeonfish,NA,90,0.02656209,3.0354541,0.9,FL,0.9,0.9,H,Herbivore,PRIMARY,PROXY used from Naso unicornis
NABR,Naso brevirostris,Naso brevirostris,NA,Species,Naso,Acanthuridae,Spotted Unicornfish,Surgeonfish,Surgeonfish,NA,60,0.01065,3.24297,1,FL,1,1,Pk,Planktivore,PLANKTIVORE,Kulbicki 2005
NACR,Naso caeruleacauda,Naso caeruleacauda,NA,Species,Naso,Acanthuridae,Bluetail Unicornfish,Surgeonfish,Surgeonfish,NA,40,0.00848,3.24964,0.9832842,FL,NA,NA,Pk,Planktivore,PLANKTIVORE,Kulbicki for Naso sp
NACA,Naso caesius,Naso caesius,NA,Species,Naso,Acanthuridae,Gray Unicornfish,Surgeonfish,Surgeonfish,NA,62,0.03259999,2.9029,1,??,NA,NA,Pk,Planktivore,PLANKTIVORE,FB genus values
NAHE,Naso hexacanthus,Naso hexacanthus,NA,Species,Naso,Acanthuridae,Sleek Unicornfish,Surgeonfish,Surgeonfish,NA,75,0.04244108,2.854,0.88,FL,0.88,0.95,Pk,Planktivore,PLANKTIVORE,Kulbicki 2005
NALI,Naso lituratus,Naso lituratus,NA,Species,Naso,Acanthuridae,Orangespine Unicornfish,Surgeonfish,Surgeonfish,NA,46,0.0085,3.25,0.97,FL,0.9,0.97,H,Herbivore,PRIMARY,Kulbicki 2005 - Naso spp.
NALO,Naso lopezi,Naso lopezi,NA,Species,Naso,Acanthuridae,Elongate Unicornfish,Surgeonfish,Surgeonfish,NA,65,0.03259999,2.9029,1,TL,1,NA,Pk,Planktivore,PLANKTIVORE,FB mean for genus
NAMA,Naso maculatus,Naso maculatus,NA,Species,Naso,Acanthuridae,Spotted Unicornfish,Surgeonfish,Surgeonfish,NA,60,0.0202,2.956,0.94,FL,NA,NA,Pk,Planktivore,PLANKTIVORE,NA
NAMI,Naso minor,Naso minor,NA,Species,Naso,Acanthuridae,Slender Unicornfish,Surgeonfish,Surgeonfish,NA,30,0.00848,3.24964,0.9416196,FL,NA,NA,Pk,Planktivore,PLANKTIVORE,Kulbicki for Naso sp
NASP,Naso sp.,Naso sp,NA,Genus,Naso,Acanthuridae,Naso sp.,Surgeonfish,Surgeonfish,NA,75,0.00848,3.24964,0.95,FL,0.95,0.95,Pk,Planktivore,PLANKTIVORE,Kulbicki 2005
NATH,Naso thynnoides,Naso thynnoides,NA,Species,Naso,Acanthuridae,Oneknife Unicornfish,Surgeonfish,Surgeonfish,NA,30,0.03259999,2.9029,1,TL,1,NA,H,Herbivore,PRIMARY,FB mean for genus
NATO,Naso tonganus,Naso tonganus,NA,Species,Naso,Acanthuridae,Bulbnose Unicornfish,Surgeonfish,Surgeonfish,NA,63,0.0085,3.25,1,FL,1,1,H,Herbivore,PRIMARY,Kulbicki 2005 - Naso spp.
